Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
a,22,22,20415.274509803923,2.8933839999999993,1.21,1.0
aardvark,18,18,0.4117647058823529,9.89,3.66,1.0
abacus,20,13,0.23529411764705882,8.69,3.77,0.65
abalone,18,13,0.5098039215686274,12.23,3.54,0.7222222222222222
abandon,19,19,8.098039215686274,8.32,2.75,1.0
abandoner,19,18,0.0196078431372549,11.89,3.36,0.9473684210526315
abandonment,22,22,0.9607843137254902,10.27,2.57,1.0
abase,19,14,0.058823529411764705,14.57,4.29,0.7368421052631579
abasement,19,12,,15.130969,5.37,0.631578947368421
abate,19,18,0.09803921568627451,14.44,3.57,0.9473684210526315
abatement,21,17,0.058823529411764705,15.12,2.78,0.8095238095238095
abattoir,19,6,0.13725490196078433,15.17,2.71,0.3157894736842105
abbacy,21,2,,14.5,0.71,0.09523809523809523
abbess,19,7,0.0392156862745098,15.43,2.37,0.3684210526315789
abbey,21,18,3.176470588235294,13.06,3.59,0.8571428571428571
abbot,20,15,0.8431372549019608,12.104381,4.7,0.75
abbreviate,19,19,0.0196078431372549,9.95,2.07,1.0
abbreviated,22,22,0.3137254901960784,10.5,1.79,1.0
abbreviation,18,18,0.23529411764705882,9.11,2.37,1.0
abdicate,18,15,0.17647058823529413,12.6,3.18,0.8333333333333334
abdication,18,16,0.11764705882352941,14.94,3.59,0.8888888888888888
abdomen,18,18,3.3529411764705883,8.61,2.25,1.0
abdominal,18,17,3.411764705882353,10.24,3.6,0.9444444444444444
abduct,19,19,0.7058823529411765,11.26,4.03,1.0
abduction,18,18,3.627450980392157,11.94,3.99,1.0
abductor,18,18,0.35294117647058826,11.11,3.56,1.0
abeam,19,10,0.13725490196078433,13.4,2.88,0.5263157894736842
aberrant,19,13,0.29411764705882354,13.31,3.5,0.6842105263157895
aberration,19,13,0.5490196078431373,12.69,3.33,0.6842105263157895
abet,18,13,0.09803921568627451,12.15,3.31,0.7222222222222222
abettor,19,11,0.0196078431372549,15.55,2.98,0.5789473684210527
abeyance,20,7,0.0392156862745098,15.0,2.58,0.35
abhor,20,17,0.23529411764705882,13.76,3.27,0.85
abhorrent,18,14,0.17647058823529413,12.14,4.24,0.7777777777777778
abide,18,18,2.7058823529411766,9.5,3.11,1.0
abiding,20,20,0.49019607843137253,10.3,4.01,1.0
ability,19,19,19.215686274509803,8.84,3.22,1.0
abject,18,16,0.39215686274509803,14.0,4.41,0.8888888888888888
abjuration,21,8,,17.12,2.59,0.38095238095238093
abjure,19,10,0.0196078431372549,14.6,3.66,0.5263157894736842
ablation,18,7,0.0196078431372549,13.29,3.45,0.3888888888888889
ablaze,19,18,0.4117647058823529,10.83,2.68,0.9473684210526315
able,19,19,159.90196078431373,7.79,3.31,1.0
ablution,19,11,0.058823529411764705,13.64,3.41,0.5789473684210527
abnormal,19,19,2.9019607843137254,10.05,2.61,1.0
abnormality,19,19,0.5098039215686274,11.58,3.34,1.0
aboard,20,20,26.627450980392158,8.66217,1.33,1.0
abode,18,17,0.6470588235294118,12.06,2.93,0.9444444444444444
abolish,20,19,0.47058823529411764,10.42,2.57,0.95
abolition,18,18,0.19607843137254902,13.28,3.41,1.0
abolitionism,19,18,0.0196078431372549,11.78,3.17,0.9473684210526315
abolitionist,18,15,0.21568627450980393,12.6,3.5,0.8333333333333334
abominable,18,18,0.6274509803921569,8.94,3.04,1.0
abominate,19,17,0.058823529411764705,15.0,4.24,0.8947368421052632
abomination,18,18,1.1372549019607843,11.17,3.45,1.0
aboriginal,19,16,0.17647058823529413,14.75,4.25,0.8421052631578947
aborigine,18,16,0.0784313725490196,12.56,4.18,0.8888888888888888
aborning,17,4,0.0196078431372549,13.25,3.77,0.23529411764705882
abort,19,19,4.607843137254902,12.21,3.33,1.0
abortion,19,19,7.235294117647059,13.21,3.41,1.0
abortionist,20,19,0.0784313725490196,15.0,3.28,0.95
abortive,18,14,0.0196078431372549,13.93,3.41,0.7777777777777778
abound,20,20,0.35294117647058826,11.65,3.12,1.0
about,22,22,3631.4901960784314,5.070761000000001,1.75,1.0
above,21,21,48.88235294117647,4.548568000000001,2.0,1.0
aboveboard,20,17,0.27450980392156865,13.0,3.43,0.85
aboveground,20,20,0.13725490196078433,8.05,2.37,1.0
abovementioned,19,17,0.0196078431372549,14.24,2.73,0.8947368421052632
abracadabra,19,19,1.0392156862745099,6.89,3.43,1.0
abrade,18,8,0.0196078431372549,14.0,4.54,0.4444444444444444
abrasion,20,19,0.35294117647058826,11.95,3.72,0.95
abrasive,18,18,0.45098039215686275,12.22,4.02,1.0
abrasiveness,18,18,0.0392156862745098,12.06,3.89,1.0
abreaction,18,10,0.0196078431372549,15.8,4.34,0.5555555555555556
abreast,19,17,0.5098039215686274,13.06,2.77,0.8947368421052632
abridge,19,17,0.0196078431372549,14.35,3.02,0.8947368421052632
abridged,18,16,0.17647058823529413,12.56,2.66,0.8888888888888888
abridgement,20,17,0.0196078431372549,12.317521,3.54,0.85
abroad,22,22,4.901960784313726,10.15415,3.2,1.0
abrogate,19,9,0.0196078431372549,15.22,2.99,0.47368421052631576
abrupt,22,22,1.1372549019607843,10.95,3.47,1.0
abruption,18,17,0.11764705882352941,11.82,2.72,0.9444444444444444
abruptness,18,18,0.0784313725490196,12.39,3.09,1.0
abscess,20,18,0.49019607843137253,13.11,3.94,0.9
abscond,19,14,0.09803921568627451,13.36,1.86,0.7368421052631579
absconder,19,13,0.0196078431372549,16.62,3.75,0.6842105263157895
absence,20,20,6.313725490196078,7.7,2.2,1.0
absent,18,18,2.5686274509803924,6.5,2.18,1.0
absentee,18,17,0.35294117647058826,11.0,3.61,0.9444444444444444
absenteeism,18,14,0.09803921568627451,13.43,3.61,0.7777777777777778
absentminded,19,19,0.058823529411764705,10.84,3.11,1.0
absentmindedness,18,18,0.0196078431372549,9.61,3.09,1.0
absinthe,19,17,0.5490196078431373,16.29,3.26,0.8947368421052632
absolute,19,19,11.313725490196079,8.53,3.44,1.0
absolutely,21,21,113.11764705882354,7.084934000000001,2.58,1.0
absoluteness,20,19,0.0196078431372549,12.68,3.65,0.95
absolution,18,17,0.9411764705882353,11.71,3.14,0.9444444444444444
absolve,20,20,0.5686274509803921,12.9,3.02,1.0
absolver,18,15,0.0784313725490196,13.6,5.05,0.8333333333333334
absorb,18,18,1.9803921568627452,8.83,2.33,1.0
absorbent,19,19,0.1568627450980392,10.32,2.75,1.0
absorber,18,18,0.058823529411764705,10.33,3.27,1.0
absorption,19,18,0.35294117647058826,10.94,2.6,0.9473684210526315
abstain,19,19,0.5098039215686274,12.95,3.27,1.0
abstention,21,16,0.11764705882352941,15.19,3.82,0.7619047619047619
abstinence,19,19,0.8823529411764706,12.74,2.66,1.0
abstract,19,19,2.176470588235294,11.47,3.58,1.0
abstraction,18,17,0.29411764705882354,13.65,3.52,0.9444444444444444
abstractionist,19,18,0.0196078431372549,14.72,3.82,0.9473684210526315
abstruse,20,10,0.058823529411764705,14.6,3.34,0.5
absurd,1917,1901,9.705882352941176,10.5,3.1,0.9916536254564423
absurdist,21,12,0.0196078431372549,13.0,3.22,0.5714285714285714
absurdity,19,19,0.6274509803921569,13.21,2.39,1.0
abundance,20,20,0.8823529411764706,10.45,2.16,1.0
abundant,19,19,0.5686274509803921,12.84,2.57,1.0
abuse,18,18,10.254901960784315,8.61,2.73,1.0
abuser,18,18,0.3137254901960784,9.94,3.75,1.0
abusive,19,19,1.6274509803921569,9.58,2.48,1.0
abusiveness,19,19,0.0196078431372549,10.47,2.34,1.0
abut,21,9,0.11764705882352941,13.11,1.9,0.42857142857142855
abutment,18,9,0.11764705882352941,15.33,2.45,0.5
abuzz,18,14,0.0392156862745098,13.0,2.77,0.7777777777777778
abysm,21,4,,15.25,2.87,0.19047619047619047
abysmal,19,18,0.4117647058823529,13.78,3.47,0.9473684210526315
abyss,20,20,1.7647058823529411,11.0,2.43,1.0
abyssal,19,11,0.0196078431372549,17.27,4.36,0.5789473684210527
ac,19,8,2.156862745098039,10.75,5.12,0.42105263157894735
acacia,21,12,0.1568627450980392,14.25,6.2,0.5714285714285714
academe,20,15,0.0392156862745098,13.27,3.06,0.75
academia,20,19,0.23529411764705882,13.74,2.77,0.95
academic,19,19,4.666666666666667,9.74,2.98,1.0
academician,19,14,0.0196078431372549,15.21,2.69,0.7368421052631579
academicism,18,10,,15.0,3.71,0.5555555555555556
academy,19,19,12.411764705882353,9.05,2.55,1.0
acanthus,18,6,0.0196078431372549,15.17,3.76,0.3333333333333333
accede,18,13,0.13725490196078433,14.31,1.84,0.7222222222222222
accelerando,20,4,,14.5,3.51,0.2
accelerant,20,19,0.5490196078431373,12.84,4.6,0.95
accelerate,19,19,1.2745098039215685,10.74,3.43,1.0
accelerated,19,19,0.9607843137254902,10.11,3.6,1.0
acceleration,19,19,0.8627450980392157,9.84,2.79,1.0
accelerator,22,22,1.3529411764705883,10.27,2.8,1.0
accent,21,20,12.176470588235293,8.6,3.0,0.9523809523809523
accentuate,20,17,0.35294117647058826,13.24,2.25,0.85
accept,19,19,52.78431372549019,6.74,2.08,1.0
acceptable,19,19,5.2745098039215685,9.84,2.67,1.0
acceptance,18,18,3.156862745098039,8.56,2.04,1.0
acceptant,19,18,0.0196078431372549,11.89,4.04,0.9473684210526315
access,20,20,31.666666666666668,9.1,2.36,1.0
accessibility,19,19,0.0392156862745098,11.05,3.58,1.0
accessible,18,18,1.0980392156862746,9.94,3.26,1.0
accession,20,16,0.11764705882352941,12.25,3.09,0.8
accessorize,18,18,0.35294117647058826,11.39,4.46,1.0
accessory,20,20,2.8823529411764706,11.15,3.65,1.0
accident,20,20,81.29411764705883,5.3,2.18,1.0
accidental,20,20,3.0,6.75,3.11,1.0
